Id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,
2426,ST JOSEPH HOSPITAL,172 KINSLEY ST,NASHUA,NH,3060,HILLSBOROUGH,6038823000,1,9,TRUE,TRUE,4,6,1,6,2,6,1,6,3,6,3,6,2,6,3,6,
2427,MASSENA MEMORIAL HOSPITAL,1 HOSPITAL DRIVE,MASSENA,NY,13662,SAINT LAWRENCE,3157641711,1,3,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,3,6,3,6,
2428,DR DAN C TRIGG MEMORIAL HOSPITAL,301 EAST MIEL DE LUNA,TUCUMCARI,NM,88401,QUAY,5754617007,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2429,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,SHERIDAN,MI,48884,MONTCALM,9892913261,3,10,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,3,6,4,1,
2430,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,3,10,TRUE,TRUE,3,4,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
2431,SPECTRUM HEALTH GERBER MEMORIAL,212 S SULLIVAN ST,FREMONT,MI,49412,NEWAYGO,2319243300,3,10,TRUE,FALSE,4,6,4,1,4,1,1,6,1,6,3,6,3,6,3,6,
2432,HEALTHSOURCE SAGINAW,3340 HOSPITAL ROAD,SAGINAW,MI,48603,SAGINAW,9897907888,1,9,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2433,FREEMAN HEALTH SYSTEM - FREEMAN WEST,1102 WEST 32ND STREET,JOPLIN,MO,64804,JASPER,4173471111,1,9,TRUE,TRUE,3,6,2,6,1,6,1,6,2,6,3,6,2,6,3,6,
2434,SLEEPY EYE MUNICIPAL HOSPITAL,400 FOURTH AVENUE NORTHWEST,SLEEPY EYE,MN,56085,BROWN,5077943571,3,3,TRUE,TRUE,4,6,4,1,4,1,3,6,1,6,4,1,3,6,4,1,
2435,PHELPS MEMORIAL HOSPITAL ASSN,701 NORTH BROADWAY,SLEEPY HOLLOW,NY,10591,WESTCHESTER,9143663000,1,9,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,2,6,3,6,
2436,BORGESS-LEE MEMORIAL HOSPITAL,420 W HIGH STREET,DOWAGIAC,MI,49047,CASS,2697828681,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
2437,ST MARY MERCY HOSPITAL,36475 FIVE MILE ROAD,LIVONIA,MI,48154,WAYNE,7346554800,1,10,TRUE,TRUE,3,6,1,6,3,6,2,6,3,6,3,6,3,6,3,6,
2438,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,MI,48912,INGHAM,5173641000,1,9,TRUE,TRUE,2,6,2,6,2,6,2,6,2,6,1,6,2,6,1,6,
2439,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,SUFFOLK,6314771000,1,10,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,3,6,3,6,3,6,
2440,LINCOLN SURGICAL HOSPITAL,"1710 SOUTH 70TH ST, SUITE 200",LINCOLN,NE,68506,LANCASTER,4024849090,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
2441,UMASS MEMORIAL MEDICAL CENTER INC,55 LAKE AVENUE NORTH,WORCESTER,MA,1655,WORCESTER,5083341000,1,10,TRUE,TRUE,1,6,1,6,2,6,2,6,2,6,2,6,2,6,3,6,
2442,ST ELIZABETH MEDICAL CENTER,1200 GRANT BLVD W,WABASHA,MN,55981,WABASHA,6515654531,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,3,6,4,1,
2443,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,ORANGE,8453432424,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,3,6,3,6,2,6,3,6,
2444,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,7189204321,1,10,TRUE,TRUE,1,6,1,6,2,6,2,6,2,6,2,6,2,6,1,6,
2445,ROSEBUD HEALTH CARE CENTER,383 N 17TH AV,FORSYTH,MT,59327,ROSEBUD,4063462161,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2446,ST ANTHONY'S MEDICAL CENTER,10010 KENNERLY ROAD,SAINT LOUIS,MO,63128,SAINT LOUIS,3145251000,1,10,TRUE,TRUE,1,6,2,6,2,6,2,6,2,6,3,6,3,6,3,6,
2447,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NEW YORK,2124392345,1,10,TRUE,TRUE,3,6,1,6,2,6,2,6,2,6,3,6,2,6,3,6,
2448,BARAGA COUNTY MEMORIAL HOSPITAL,18341 US HIGHWAY 41,L' ANSE,MI,49946,BARAGA,9065243300,3,3,TRUE,TRUE,2,6,3,6,4,1,3,6,4,1,4,1,3,6,2,6,
2449,BAPTIST MEDICAL CENTER YAZOO,823 GRAND AVENUE,YAZOO CITY,MS,39194,YAZOO,6627462261,3,10,TRUE,TRUE,2,6,3,6,4,1,3,6,3,6,4,1,4,1,3,6,
2450,SCHOOLCRAFT MEMORIAL HOSPITAL,7870W US HIGHWAY 2,MANISTIQUE,MI,49854,SCHOOLCRAFT,9063413200,3,3,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,3,6,2,6,
2451,MOUNT GRANT GENERAL HOSPITAL,FIRST AND A STREETS,HAWTHORNE,NV,89415,MINERAL,7029452461,3,2,TRUE,FALSE,3,6,3,6,4,1,3,6,4,1,4,1,3,6,4,1,
2452,NOXUBEE GENERAL CRITICAL ACCESS HOSP,606 NORTH JEFFERSON STREET,MACON,MS,39341,NOXUBEE,6627264231,3,3,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
2453,OWATONNA HOSPITAL,2250 26TH STREET NORTHWEST,OWATONNA,MN,55060,STEELE,5079772000,1,9,TRUE,TRUE,3,6,3,6,3,6,3,6,1,6,3,6,3,6,4,1,
2454,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,HIGH POINT,NC,27261,GUILFORD,3368786000,1,10,TRUE,TRUE,3,6,3,6,1,6,1,6,2,6,3,6,2,6,3,6,
2455,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN,620 E MONROE,MEXICO,MO,65265,AUDRAIN,5735825000,1,10,TRUE,TRUE,3,6,3,6,1,6,3,6,3,6,3,6,1,6,3,6,
2456,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NEW YORK,2124918400,1,3,TRUE,TRUE,1,6,3,6,3,6,2,6,2,6,3,6,2,6,4,1,
2457,EXETER HOSPITAL INC,5 ALUMNI DRIVE,EXETER,NH,3833,ROCKINGHAM,6037787311,1,10,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,3,6,3,6,
2458,ST LUKE'S CORNWALL HOSPITAL,70 DUBOIS STREET,NEWBURGH,NY,12550,ORANGE,8455614400,1,9,TRUE,TRUE,2,6,3,6,3,6,2,6,2,6,3,6,2,6,3,6,
2459,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,SARANAC LAKE,NY,12983,FRANKLIN,5188914141,1,9,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,3,6,3,6,
2460,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,5165720123,1,3,TRUE,TRUE,1,6,2,6,3,6,2,6,2,6,3,6,2,6,3,6,
2461,SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,LAS VEGAS,NV,89118,CLARK,7028533000,1,6,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,3,6,
2462,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,418 NORTH MAIN STREET,PENN YAN,NY,14527,YATES,3157874175,3,9,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,3,6,3,6,4,1,
2463,RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION,530 NEW BRUNSWICK AVE,PERTH AMBOY,NJ,8861,MIDDLESEX,7324423700,1,10,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,2,6,2,6,3,6,
2464,BARRETT HOSPITAL & HEALTHCARE,600 MT HWY 91 S,DILLON,MT,59725,BEAVERHEAD,4066833000,3,2,TRUE,TRUE,4,6,4,1,4,1,3,6,1,6,3,6,3,6,3,6,
2465,LITTLETON REGIONAL HEALTHCARE,600 ST JOHNSBURY ROAD,LITTLETON,NH,3561,GRAFTON,6034449000,3,10,TRUE,TRUE,4,4,3,6,4,1,3,6,1,6,4,1,4,1,4,1,
2466,CLAIBORNE COUNTY HOSPITAL,123 MCCOMB AVENUE,PORT GIBSON,MS,39150,CLAIBORNE,6014375141,3,3,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
2467,HACKETTSTOWN REGIONAL MEDICAL CENTER,651 WILLOW GROVE ST,HACKETTSTOWN,NJ,7840,WARREN,9088525100,1,8,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,3,6,3,6,
2468,WINCHESTER HOSPITAL,41 HIGHLAND AVENUE,WINCHESTER,MA,1890,MIDDLESEX,7817299000,1,10,TRUE,TRUE,4,6,1,6,3,6,3,6,1,6,3,6,2,6,1,6,
2469,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,2125887000,1,6,TRUE,TRUE,1,6,3,6,2,6,2,6,2,6,3,6,2,6,4,1,
2470,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,WAYNE,7344674175,1,10,TRUE,TRUE,2,6,3,6,1,6,2,6,3,6,3,6,3,6,3,6,
2471,REGINA HOSPITAL,1175 NININGER ROAD,HASTINGS,MN,55033,DAKOTA,6514804100,1,8,TRUE,TRUE,3,6,3,6,3,6,3,6,1,6,3,6,1,6,4,1,
2472,ST JOSEPH MEDICAL CENTER,1000 CARONDELET DR,KANSAS CITY,MO,64114,JACKSON,8169424000,1,10,TRUE,TRUE,3,6,3,6,3,6,1,6,2,6,3,6,1,6,3,6,
2473,HENDERSON HEALTH CARE SERVICES,1621 FRONT STREET,HENDERSON,NE,68371,YORK,4027234512,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2474,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,WESTCHESTER,9146810600,1,10,TRUE,TRUE,3,6,1,6,2,6,2,6,1,6,1,6,2,6,1,6,
2475,RANKEN JORDAN A PEDIATRIC REHAB,11365 DORSETT ROAD,MARYLAND HEIGHTS,MO,63043,SAINT LOUIS,3148726400,2,10,FALSE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
2476,GARFIELD COUNTY HEALTH CENTER,332 LEAVITT AVE,JORDAN,MT,59337,GARFIELD,4065572500,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2477,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST,11133 DUNN ROAD,SAINT LOUIS,MO,63136,SAINT LOUIS,3146535000,1,10,TRUE,TRUE,2,6,1,6,3,6,2,6,2,6,3,6,2,6,1,6,
2478,ERIE COUNTY MEDICAL CENTER,462 GRIDER STREET,BUFFALO,NY,14215,ERIE,7168983936,1,10,TRUE,TRUE,2,6,3,6,3,6,2,6,3,6,3,6,2,6,3,6,
2479,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,ERIE,7168621000,1,10,TRUE,TRUE,3,6,3,6,1,6,1,6,2,6,3,6,2,6,3,6,
2480,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,30 WARREN STREET,BRIGHTON,MA,2135,SUFFOLK,6172543800,2,10,FALSE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
2481,MERCY HOSPITAL CARTHAGE,3125 DR RUSSELL SMITH WAY,CARTHAGE,MO,64836,JASPER,4173588121,3,3,TRUE,FALSE,4,4,3,6,4,1,3,6,3,6,4,1,4,1,4,1,
2482,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,NEEDHAM,MA,2494,NORFOLK,7814533002,1,10,TRUE,TRUE,3,6,3,6,3,6,2,6,3,6,3,6,3,6,3,6,
2483,SIDNEY REGIONAL MEDICAL CENTER,1000 POLE CREEK CROSSING,SIDNEY,NE,69162,CHEYENNE,3082545825,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,4,1,4,1,4,1,
2484,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,274 E CHICAGO ST,COLDWATER,MI,49036,BRANCH,5172795400,1,3,TRUE,TRUE,4,6,3,6,1,6,3,6,3,6,3,6,3,6,3,6,
2485,PIONEER MEDICAL CENTER,301 W 7TH AVE,BIG TIMBER,MT,59011,SWEET GRASS,4069324603,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2486,F F THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,ONTARIO,5853966000,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,2,6,3,6,2,6,3,6,
2487,COX MEDICAL CENTER BRANSON,"525 BRANSON LANDING BLVD, PO BOX 650",BRANSON,MO,65615,TANEY,4173357000,1,10,TRUE,TRUE,4,6,1,6,3,6,1,6,3,6,3,6,2,6,3,6,
2488,SOUTHEASTHEALTH,1701 LACEY ST,CAPE GIRARDEAU,MO,63701,CAPE GIRARDEAU,5733344822,1,10,TRUE,TRUE,2,6,2,6,2,6,3,6,3,6,3,6,1,6,2,6,
2489,CHILDRENS MERCY HOSPITAL,2401 GILLHAM ROAD,KANSAS CITY,MO,64108,JACKSON,8162343000,2,10,TRUE,TRUE,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2490,GREENWOOD LEFLORE HOSPITAL,1401 RIVER RD / PO BOX 1410,GREENWOOD,MS,38930,LEFLORE,6624597000,1,3,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,3,6,1,6,3,6,
2491,TRINITY HOSPITAL,315 KNAPP ST,WOLF POINT,MT,59201,ROOSEVELT,4066536500,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2492,MCLAREN GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,INGHAM,5179756000,1,10,TRUE,TRUE,3,6,2,6,1,6,1,6,3,6,3,6,2,6,2,6,
2493,LOVELACE REGIONAL HOSPITAL - ROSWELL,117 EAST 19TH STREET,ROSWELL,NM,88201,CHAVES,5756253345,1,6,TRUE,FALSE,3,6,3,6,3,6,3,6,3,6,3,6,1,6,4,1,
2494,DEER RIVER HEALTHCARE CENTER,115 10TH AVENUE NORTHEAST,DEER RIVER,MN,56636,ITASCA,2182462900,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,3,6,1,6,4,1,
2495,ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,8865,WARREN,9088476700,1,9,TRUE,FALSE,4,6,3,6,3,6,1,6,2,6,3,6,2,6,1,6,
2496,CHI HEALTH ST MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,OTOE,4028733321,3,8,TRUE,FALSE,3,6,4,1,4,1,3,6,4,1,3,6,1,6,3,6,
2497,CHILDREN'S HOSPITAL & MEDICAL CENTER,8200 DODGE ST,OMAHA,NE,68114,DOUGLAS,4029555400,2,10,TRUE,TRUE,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2498,CARROLL COUNTY MEMORIAL HOSPITAL,1502 NORTH JEFFERSON,CARROLLTON,MO,64633,CARROLL,6605421695,3,10,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
2499,BEAUMONT HOSPITAL - FARMINGTON HILLS,28050 GRAND RIVER AVENUE,FARMINGTON HILLS,MI,48336,OAKLAND,2484718000,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,1,6,
2500,OCEAN MEDICAL CENTER,425 JACK MARTIN BLVD,BRICK,NJ,8724,OCEAN,7328402200,1,9,TRUE,TRUE,4,6,3,6,1,6,1,6,2,6,3,6,2,6,3,6,
2501,BOULDER CITY HOSPITAL,901 ADAMS BLVD,BOULDER CITY,NV,89005,CLARK,7022934111,3,10,TRUE,FALSE,3,6,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
2502,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,3,6,3,6,
2503,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,KINGS,7186045789,1,10,TRUE,TRUE,2,6,1,6,3,6,2,6,2,6,3,6,2,6,4,1,
2504,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,1432,MIDDLESEX,9787849000,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,1,6,3,6,
2505,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,CAMERON,MO,64429,CLINTON,8166322101,1,10,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,1,6,3,6,
2506,SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,SAINT CHARLES,6369475000,1,10,TRUE,TRUE,2,6,3,6,3,6,2,6,3,6,3,6,3,6,3,6,
2507,KEARNEY COUNTY HEALTH SERVICES HOSPITAL,727 EAST 1ST ST,MINDEN,NE,68959,KEARNEY,3088323400,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
2508,NORTH SUNFLOWER MEDICAL CENTER CAH,840 NORTH OAK AVENUE,RULEVILLE,MS,38771,SUNFLOWER,6627562711,3,3,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
2509,VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,NV,89106,CLARK,7023884000,1,6,TRUE,TRUE,1,6,2,6,2,6,2,6,2,6,3,6,2,6,3,6,
2510,"SCHUYLER HOSPITAL, INC",220 STEUBEN STREET,MONTOUR FALLS,NY,14865,SCHUYLER,6075307121,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,4,1,4,1,3,6,
2511,BATES COUNTY MEMORIAL HOSPITAL,615 W NURSERY ST,BUTLER,MO,64730,BATES,6602007000,1,3,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,1,6,4,1,
2512,MAYO CLINIC HEALTH SYSTEM - CANNON FALLS,32021 COUNTY 24 BOULEVARD,CANNON FALLS,MN,55009,GOODHUE,5072636000,3,10,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,1,6,4,1,
2513,EXCELSIOR SPRINGS HOSPITAL,1700 RAINBOW BOULEVARD,EXCELSIOR SPRINGS,MO,64024,CLAY,8166306081,3,3,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
2514,OAKLAND REGIONAL HOSPITAL,22401 FOSTER WINTER DRIVE,SOUTHFIELD,MI,48075,OAKLAND,2484235100,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,2,6,4,1,4,1,
2515,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE,EAST ORANGE,NJ,7018,ESSEX,9732664401,1,10,TRUE,TRUE,2,6,1,6,1,6,2,6,2,6,2,6,2,6,4,1,
2516,COVENANT MEDICAL CENTER,1447 N HARRISON,SAGINAW,MI,48602,SAGINAW,9895834000,1,9,TRUE,TRUE,2,6,3,6,2,6,2,6,3,6,3,6,3,6,2,6,
2517,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,5188736377,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,4,1,3,6,4,1,
2518,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,6314731320,1,10,TRUE,TRUE,4,6,1,6,3,6,2,6,1,6,3,6,2,6,3,6,
2519,WAYNE GENERAL HOSPITAL,950 MATTHEW DR,WAYNESBORO,MS,39367,WAYNE,6017355151,1,3,TRUE,TRUE,3,6,3,6,4,1,2,6,3,6,2,6,1,6,3,6,
2520,NEW YORK METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,KINGS,7187803000,1,10,TRUE,TRUE,1,6,1,6,2,6,2,6,2,6,3,6,2,6,3,6,
2521,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,MI,48532,GENESEE,8103422000,1,10,TRUE,TRUE,2,6,1,6,2,6,2,6,2,6,3,6,2,6,2,6,
2522,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,605 OAK STREET,BIG RAPIDS,MI,49307,MECOSTA,2317968691,1,3,TRUE,TRUE,3,6,3,6,3,6,1,6,3,6,3,6,3,6,3,6,
2523,MERCY HOSPITAL,4050 COON RAPIDS BLVD,COON RAPIDS,MN,55433,ANOKA,7622368100,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,1,6,3,6,3,6,1,6,
2524,MISSISSIPPI METHODIST REHAB CTR,1350 E WOODROW WILSON DR,JACKSON,MS,39216,HINDS,6019812611,1,10,FALSE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2525,GARDEN PARK MEDICAL CENTER,15200 COMMUNITY ROAD,GULFPORT,MS,39503,HARRISON,2285757000,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,
2526,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,3157986000,1,10,TRUE,TRUE,1,6,2,6,2,6,2,6,2,6,3,6,2,6,3,6,
2527,CENTRAL MONTANA MEDICAL CENTER,408 WENDELL AVE,LEWISTOWN,MT,59457,FERGUS,4065357711,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,3,6,3,6,1,6,4,1,
2528,NEBRASKA ORTHOPAEDIC HOSPITAL,2808 SOUTH 143RD PLZ,OMAHA,NE,68144,DOUGLAS,4026091600,1,5,TRUE,TRUE,5,6,4,1,1,6,4,1,1,6,3,6,1,6,4,1,
2529,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,199 REEDSDALE ROAD,MILTON,MA,2186,NORFOLK,6176964600,1,1,TRUE,TRUE,4,6,1,6,3,6,3,6,3,6,3,6,3,6,3,6,
2530,INSPIRA MEDICAL CENTER WOODBURY,509 N BROAD ST,WOODBURY,NJ,8096,GLOUCESTER,8568450100,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,2,6,3,6,2,6,3,6,
2531,NORTH VALLEY HEALTH CENTER,300 WEST GOOD SAMARITAN DRIVE,WARREN,MN,56762,MARSHALL,2187454211,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
2532,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,FLEMINGTON,NJ,8822,HUNTERDON,9087886100,1,10,TRUE,TRUE,3,6,3,6,3,6,1,6,3,6,3,6,3,6,3,6,
2533,PIONEER HEALTH SERVICES OF NEWTON,"9421 EAST SIDE DRIVE EXTENSION, POB 299",NEWTON,MS,39345,NEWTON,6016832031,3,6,TRUE,FALSE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
2534,CHI HEALTH SCHUYLER,104 WEST 17TH ST,SCHUYLER,NE,68661,COLFAX,4023522441,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,3,6,4,1,
2535,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,21230 DEQUINDRE ROAD,WARREN,MI,48091,MACOMB,5864271000,1,10,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
2536,CENTRACARE HEALTH - MONTICELLO,1013 HART BOULEVARD,MONTICELLO,MN,55362,WRIGHT,7632952945,3,2,TRUE,TRUE,4,6,4,1,4,1,3,6,1,6,3,6,1,6,4,1,
2537,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,5165626000,1,8,TRUE,TRUE,4,6,1,6,2,6,1,6,1,6,3,6,2,6,3,6,
2538,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,1608,WORCESTER,5083635000,1,6,TRUE,TRUE,3,6,1,6,3,6,2,6,3,6,3,6,2,6,3,6,
2539,WEST HOLT MEMORIAL HOSPITAL,406 W NEELY ST,ATKINSON,NE,68713,HOLT,4029252811,3,10,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
2540,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,1701,MIDDLESEX,5083831000,1,10,TRUE,TRUE,3,6,1,6,2,6,1,6,2,6,3,6,2,6,3,6,
2541,FAIRVIEW LAKES MEDICAL CENTER,5200 FAIRVIEW BOULEVARD,WYOMING,MN,55092,CHISAGO,7633896481,1,10,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,3,6,3,6,
2542,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,6318623000,1,10,TRUE,TRUE,2,6,1,6,2,6,2,6,2,6,3,6,2,6,3,6,
2543,MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,MUNISING,MI,49862,ALGER,9063874110,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,3,6,3,6,3,6,
2544,WASHINGTON COUNTY MEMORIAL HOSPITAL,300 HEALTH WAY,POTOSI,MO,63664,WASHINGTON,5734385451,3,3,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
2545,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,5736813000,1,6,TRUE,TRUE,4,6,3,6,1,6,3,6,1,6,1,6,1,6,3,6,
2546,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,65 JAMES STREET,EDISON,NJ,8818,MIDDLESEX,7323217000,1,10,TRUE,TRUE,2,6,2,6,3,6,2,6,3,6,3,6,2,6,1,6,
2547,FAIRVIEW RIDGES HOSPITAL,201 EAST NICOLLET BOULEVARD,BURNSVILLE,MN,55337,DAKOTA,9528922000,1,8,TRUE,TRUE,4,6,3,6,1,6,3,6,1,6,3,6,3,6,1,6,
